Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
900¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":124,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Program
922¿Literal¿string¿1572¿¿'../path/stat'¿¿{"start":{"line":8,"column":25},"end":{"line":8,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
923¿VariableDeclarator¿exported¿1572¿Server¿¿¿{"start":{"line":10,"column":0},"end":{"line":21,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
924¿FunctionExpression¿¿1572¿anon¿¿¿{"start":{"line":10,"column":0},"end":{"line":21,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿FunctionExpression
925¿Identifier¿¿0¿options¿¿¿{"start":{"line":10,"column":17},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
926¿VariableDeclarator¿¿1574¿v74¿¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
927¿ObjectExpression¿¿1574¿¿¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ObjectExpression
928¿ExpressionStatement¿¿1574¿¿¿¿{"start":{"line":11,"column":1},"end":{"line":11,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
929¿AssignmentExpression¿=¿1574¿¿¿¿{"start":{"line":11,"column":1},"end":{"line":11,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿AssignmentExpression
930¿Identifier¿¿1574¿options¿¿¿{"start":{"line":11,"column":1},"end":{"line":11,"column":8},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
931¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
932¿Identifier¿¿1574¿options¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
933¿Identifier¿¿1574¿v74¿¿¿¿¿Identifier
934¿VariableDeclarator¿¿1574¿v75¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
935¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
936¿Identifier¿¿1574¿options¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
937¿Identifier¿¿1574¿port¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
938¿ExpressionStatement¿¿1574¿¿¿¿{"start":{"line":12,"column":1},"end":{"line":12,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
939¿AssignmentExpression¿=¿1574¿¿¿¿{"start":{"line":12,"column":1},"end":{"line":12,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿AssignmentExpression
940¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":12,"column":1},"end":{"line":12,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
941¿ThisExpression¿¿1574¿¿¿¿{"start":{"line":12,"column":1},"end":{"line":12,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ThisExpression
942¿Identifier¿¿1574¿port¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
943¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
944¿Identifier¿¿1574¿v75¿¿¿¿¿Identifier
945¿Literal¿number¿1574¿¿0¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
946¿VariableDeclarator¿¿1574¿v76¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
947¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
948¿Identifier¿¿1574¿options¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
949¿Identifier¿¿1574¿spa¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
950¿ExpressionStatement¿¿1574¿¿¿¿{"start":{"line":13,"column":1},"end":{"line":13,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
951¿AssignmentExpression¿=¿1574¿¿¿¿{"start":{"line":13,"column":1},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿AssignmentExpression
952¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":13,"column":1},"end":{"line":13,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
953¿ThisExpression¿¿1574¿¿¿¿{"start":{"line":13,"column":1},"end":{"line":13,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ThisExpression
954¿Identifier¿¿1574¿spa¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
955¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
956¿Identifier¿¿1574¿v76¿¿¿¿¿Identifier
957¿Literal¿boolean¿1574¿¿false¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
958¿VariableDeclarator¿¿1574¿v77¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
959¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
960¿Identifier¿¿1574¿options¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
961¿Identifier¿¿1574¿cors¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
962¿ExpressionStatement¿¿1574¿¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
963¿AssignmentExpression¿=¿1574¿¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿AssignmentExpression
964¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
965¿ThisExpression¿¿1574¿¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ThisExpression
966¿Identifier¿¿1574¿cors¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
967¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
968¿Identifier¿¿1574¿v77¿¿¿¿¿Identifier
969¿Literal¿boolean¿1574¿¿false¿¿{"start":{"line":14,"column":29},"end":{"line":14,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
970¿VariableDeclarator¿¿1574¿v78¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
971¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
972¿Identifier¿¿1574¿options¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
973¿Identifier¿¿1574¿cache¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
974¿ExpressionStatement¿¿1574¿¿¿¿{"start":{"line":15,"column":1},"end":{"line":15,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
975¿AssignmentExpression¿=¿1574¿¿¿¿{"start":{"line":15,"column":1},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿AssignmentExpression
976¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":15,"column":1},"end":{"line":15,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
977¿ThisExpression¿¿1574¿¿¿¿{"start":{"line":15,"column":1},"end":{"line":15,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ThisExpression
978¿Identifier¿¿1574¿cache¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
979¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
980¿Identifier¿¿1574¿v78¿¿¿¿¿Identifier
981¿Literal¿boolean¿1574¿¿false¿¿{"start":{"line":15,"column":31},"end":{"line":15,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
982¿VariableDeclarator¿¿1574¿v79¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
983¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
984¿Identifier¿¿1574¿options¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
985¿Identifier¿¿1574¿secure¿¿¿{"start":{"line":16,"column":23},"end":{"line":16,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
986¿ExpressionStatement¿¿1574¿¿¿¿{"start":{"line":16,"column":1},"end":{"line":16,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
987¿AssignmentExpression¿=¿1574¿¿¿¿{"start":{"line":16,"column":1},"end":{"line":16,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿AssignmentExpression
988¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":16,"column":1},"end":{"line":16,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
989¿ThisExpression¿¿1574¿¿¿¿{"start":{"line":16,"column":1},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ThisExpression
990¿Identifier¿¿1574¿secure¿¿¿{"start":{"line":16,"column":6},"end":{"line":16,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
991¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
992¿Identifier¿¿1574¿v79¿¿¿¿¿Identifier
993¿Literal¿boolean¿1574¿¿false¿¿{"start":{"line":16,"column":33},"end":{"line":16,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
994¿VariableDeclarator¿¿1574¿v80¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
995¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
996¿Identifier¿¿1574¿options¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
997¿Identifier¿¿1574¿host¿¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
998¿ExpressionStatement¿¿1574¿¿¿¿{"start":{"line":17,"column":1},"end":{"line":17,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
999¿AssignmentExpression¿=¿1574¿¿¿¿{"start":{"line":17,"column":1},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿AssignmentExpression
1000¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":17,"column":1},"end":{"line":17,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
1001¿ThisExpression¿¿1574¿¿¿¿{"start":{"line":17,"column":1},"end":{"line":17,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ThisExpression
1002¿Identifier¿¿1574¿host¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
1003¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
1004¿Identifier¿¿1574¿v80¿¿¿¿¿Identifier
1005¿Literal¿string¿1574¿¿'0.0.0.0'¿¿{"start":{"line":17,"column":29},"end":{"line":17,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
1006¿VariableDeclarator¿¿1574¿v81¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
1007¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
1008¿Identifier¿¿1574¿options¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
1009¿Identifier¿¿1574¿file¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
1010¿ExpressionStatement¿¿1574¿¿¿¿{"start":{"line":18,"column":1},"end":{"line":18,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
1011¿AssignmentExpression¿=¿1574¿¿¿¿{"start":{"line":18,"column":1},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿AssignmentExpression
1012¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":18,"column":1},"end":{"line":18,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
1013¿ThisExpression¿¿1574¿¿¿¿{"start":{"line":18,"column":1},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ThisExpression
1014¿Identifier¿¿1574¿file¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
1015¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
1016¿Identifier¿¿1574¿v81¿¿¿¿¿Identifier
1017¿Literal¿string¿1574¿¿'index.html'¿¿{"start":{"line":18,"column":29},"end":{"line":18,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
1018¿VariableDeclarator¿¿1574¿v82¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
1019¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
1020¿Identifier¿¿1574¿options¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
1021¿Identifier¿¿1574¿hostname¿¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
1022¿ExpressionStatement¿¿1574¿¿¿¿{"start":{"line":19,"column":1},"end":{"line":19,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ExpressionStatement
1023¿AssignmentExpression¿=¿1574¿¿¿¿{"start":{"line":19,"column":1},"end":{"line":19,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿AssignmentExpression
1024¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":19,"column":1},"end":{"line":19,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
1025¿ThisExpression¿¿1574¿¿¿¿{"start":{"line":19,"column":1},"end":{"line":19,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿ThisExpression
1026¿Identifier¿¿1574¿hostname¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
1027¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
1028¿Identifier¿¿1574¿v82¿¿¿¿¿Identifier
1029¿Literal¿string¿1574¿¿'localhost'¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
1030¿VariableDeclarator¿¿1574¿v83¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
1031¿MemberExpression¿¿1574¿¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿MemberExpression
1032¿Identifier¿¿1574¿options¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
1033¿Identifier¿¿1574¿folder¿¿¿{"start":{"line":20,"column":36},"end":{"line":20,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Identifier
1034¿VariableDeclarator¿¿1574¿v84¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
1035¿LogicalExpression¿||¿1574¿¿¿¿{"start":{"line":20,"column":28},"end":{"line":20,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿LogicalExpression
1036¿Identifier¿¿1574¿v83¿¿¿¿¿Identifier
1037¿Literal¿string¿1574¿¿'public'¿¿{"start":{"line":20,"column":46},"end":{"line":20,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿Literal
1038¿VariableDeclarator¿¿1574¿v85¿¿¿{"start":{"line":20,"column":1},"end":{"line":20,"column":55},"fname":"/datasets/secbench-dataset/CWE-22/servey_2.2.0/src/index.js"}¿¿VariableDeclarator
