Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
6836¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":766,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Program
6906¿Literal¿boolean¿¿true¿¿{"start":{"line":19,"column":33},"end":{"line":19,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6907¿Property¿¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Property
6908¿Literal¿string¿¿'flatten-duplicate-arrays'¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6909¿Literal¿boolean¿¿true¿¿{"start":{"line":20,"column":32},"end":{"line":20,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6910¿Property¿¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Property
6911¿Literal¿string¿¿'populate--'¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6912¿Literal¿boolean¿¿true¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6913¿VariableDeclarator¿¿v795¿¿¿¿¿VariableDeclarator
6914¿MemberExpression¿¿¿¿¿{"start":{"line":22,"column":5},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6915¿Identifier¿¿opts¿¿¿{"start":{"line":22,"column":5},"end":{"line":22,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6916¿Identifier¿¿configuration¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6917¿VariableDeclarator¿¿configuration¿¿¿{"start":{"line":13,"column":6},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6918¿CallExpression¿¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":22,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
6919¿Identifier¿¿assign¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6920¿Identifier¿¿v794¿¿¿¿¿Identifier
6921¿Identifier¿¿v795¿¿¿¿¿Identifier
6922¿VariableDeclarator¿¿v796¿¿¿¿¿VariableDeclarator
6923¿MemberExpression¿¿¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6924¿Identifier¿¿opts¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6925¿Identifier¿¿default¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6926¿VariableDeclarator¿¿v797¿¿¿¿¿VariableDeclarator
6927¿ObjectExpression¿¿¿¿¿{"start":{"line":23,"column":33},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ObjectExpression
6928¿VariableDeclarator¿¿defaults¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6929¿LogicalExpression¿||¿¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿LogicalExpression
6930¿Identifier¿¿v796¿¿¿¿¿Identifier
6931¿Identifier¿¿v797¿¿¿¿¿Identifier
6932¿VariableDeclarator¿¿v798¿¿¿¿¿VariableDeclarator
6933¿MemberExpression¿¿¿¿¿{"start":{"line":24,"column":22},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6934¿Identifier¿¿opts¿¿¿{"start":{"line":24,"column":22},"end":{"line":24,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6935¿Identifier¿¿configObjects¿¿¿{"start":{"line":24,"column":27},"end":{"line":24,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6936¿VariableDeclarator¿¿v799¿¿¿¿¿VariableDeclarator
6937¿ArrayExpression¿¿¿¿¿{"start":{"line":24,"column":44},"end":{"line":24,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ArrayExpression
6938¿VariableDeclarator¿¿configObjects¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6939¿LogicalExpression¿||¿¿¿¿{"start":{"line":24,"column":22},"end":{"line":24,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿LogicalExpression
6940¿Identifier¿¿v798¿¿¿¿¿Identifier
6941¿Identifier¿¿v799¿¿¿¿¿Identifier
6942¿VariableDeclarator¿¿envPrefix¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6943¿MemberExpression¿¿¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6944¿Identifier¿¿opts¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6945¿Identifier¿¿envPrefix¿¿¿{"start":{"line":25,"column":23},"end":{"line":25,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6946¿VariableDeclarator¿¿notFlagsOption¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6947¿MemberExpression¿computed¿¿¿¿{"start":{"line":26,"column":23},"end":{"line":26,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6948¿Identifier¿¿configuration¿¿¿{"start":{"line":26,"column":23},"end":{"line":26,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6949¿Literal¿string¿¿'populate--'¿¿{"start":{"line":26,"column":37},"end":{"line":26,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6950¿VariableDeclarator¿¿notFlagsArgv¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6951¿IfStatement¿¿¿¿¿{"start":{"line":27,"column":21},"end":{"line":27,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿IfStatement
6952¿Identifier¿¿notFlagsOption¿¿¿{"start":{"line":27,"column":21},"end":{"line":27,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6953¿ExpressionStatement¿¿¿¿¿{"start":{"line":27,"column":21},"end":{"line":27,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
6954¿AssignmentExpression¿=¿¿¿¿{"start":{"line":27,"column":21},"end":{"line":27,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿AssignmentExpression
6955¿Identifier¿¿notFlagsArgv¿¿¿{"start":{"line":27,"column":21},"end":{"line":27,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6956¿Literal¿string¿¿'--'¿¿{"start":{"line":27,"column":38},"end":{"line":27,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6957¿BlockStatement¿¿¿¿¿¿¿BlockStatement
6958¿ExpressionStatement¿¿¿¿¿{"start":{"line":27,"column":21},"end":{"line":27,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
6959¿AssignmentExpression¿=¿¿¿¿{"start":{"line":27,"column":21},"end":{"line":27,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿AssignmentExpression
6960¿Identifier¿¿notFlagsArgv¿¿¿{"start":{"line":27,"column":21},"end":{"line":27,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6961¿Literal¿string¿¿'_'¿¿{"start":{"line":27,"column":45},"end":{"line":27,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
6962¿BlockStatement¿¿¿¿¿¿¿BlockStatement
6963¿VariableDeclarator¿¿newAliases¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
6964¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
6965¿VariableDeclarator¿¿v800¿¿¿¿¿VariableDeclarator
6966¿MemberExpression¿¿¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6967¿Identifier¿¿opts¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6968¿Identifier¿¿__¿¿¿{"start":{"line":30,"column":16},"end":{"line":30,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6969¿VariableDeclarator¿¿v806¿¿¿¿¿VariableDeclarator
6970¿FunctionExpression¿¿anon¿¿¿{"start":{"line":30,"column":22},"end":{"line":32,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿FunctionExpression
6971¿Identifier¿¿str¿¿¿{"start":{"line":30,"column":32},"end":{"line":30,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6972¿VariableDeclarator¿¿v801¿¿¿¿¿VariableDeclarator
6973¿MemberExpression¿¿¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6974¿Identifier¿¿util¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6975¿Identifier¿¿format¿¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6976¿VariableDeclarator¿¿v802¿¿¿¿¿VariableDeclarator
6977¿MemberExpression¿¿¿¿¿{"start":{"line":31,"column":35},"end":{"line":31,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6978¿Identifier¿¿Array¿¿¿{"start":{"line":31,"column":35},"end":{"line":31,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6979¿Identifier¿¿prototype¿¿¿{"start":{"line":31,"column":41},"end":{"line":31,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6980¿VariableDeclarator¿¿v803¿¿¿¿¿VariableDeclarator
6981¿MemberExpression¿¿¿¿¿{"start":{"line":31,"column":35},"end":{"line":31,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6982¿Identifier¿¿v802¿¿¿¿¿Identifier
6983¿Identifier¿¿slice¿¿¿{"start":{"line":31,"column":51},"end":{"line":31,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6984¿VariableDeclarator¿¿v804¿¿¿¿¿VariableDeclarator
6985¿CallExpression¿¿¿¿¿{"start":{"line":31,"column":35},"end":{"line":31,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
6986¿MemberExpression¿¿¿¿¿{"start":{"line":31,"column":35},"end":{"line":31,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
6987¿Identifier¿¿v803¿¿¿¿¿Identifier
6988¿Identifier¿¿call¿¿¿{"start":{"line":31,"column":57},"end":{"line":31,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6989¿Identifier¿¿arguments¿¿¿{"start":{"line":31,"column":62},"end":{"line":31,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
6990¿VariableDeclarator¿¿v805¿¿¿¿¿VariableDeclarator
6991¿CallExpression¿¿¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":73},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
