Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
732¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":139,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Program
774¿Literal¿string¿1259¿¿'Automatically searches for index.html in directory'¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":84},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
775¿VariableDeclarator¿¿1259¿v72¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
776¿MemberExpression¿¿1259¿¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
777¿Identifier¿¿1259¿process¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
778¿Identifier¿¿1259¿argv¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
779¿VariableDeclarator¿¿1259¿v73¿¿¿{"start":{"line":10,"column":0},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
780¿CallExpression¿¿1259¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
781¿MemberExpression¿¿1259¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":14,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
782¿Identifier¿¿1259¿v71¿¿¿¿¿Identifier
783¿Identifier¿¿1259¿parse¿¿¿{"start":{"line":14,"column":5},"end":{"line":14,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
784¿Identifier¿¿1259¿v72¿¿¿¿¿Identifier
785¿ExpressionStatement¿¿1259¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿ExpressionStatement
786¿Identifier¿¿1259¿v73¿¿¿¿¿Identifier
787¿VariableDeclarator¿¿1259¿dir¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
788¿CallExpression¿¿1259¿¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
789¿MemberExpression¿¿1259¿¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
790¿Identifier¿¿1259¿process¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
791¿Identifier¿¿1259¿cwd¿¿¿{"start":{"line":16,"column":18},"end":{"line":16,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
792¿VariableDeclarator¿¿1259¿v74¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
793¿MemberExpression¿¿1259¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
794¿Identifier¿¿1259¿commander¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
795¿Identifier¿¿1259¿args¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
796¿VariableDeclarator¿¿1259¿v75¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
797¿MemberExpression¿¿1259¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
798¿Identifier¿¿1259¿v74¿¿¿¿¿Identifier
799¿Identifier¿¿1259¿length¿¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
800¿IfStatement¿¿1259¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":20,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿IfStatement
801¿Identifier¿¿1259¿v75¿¿¿¿¿Identifier
802¿VariableDeclarator¿¿1259¿v76¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
803¿MemberExpression¿¿1259¿¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
804¿Identifier¿¿1259¿commander¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
805¿Identifier¿¿1259¿args¿¿¿{"start":{"line":19,"column":20},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
806¿ExpressionStatement¿¿1259¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿ExpressionStatement
807¿AssignmentExpression¿=¿1259¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿AssignmentExpression
808¿Identifier¿¿1259¿dir¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
809¿MemberExpression¿computed¿1259¿¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
810¿Identifier¿¿1259¿v76¿¿¿¿¿Identifier
811¿Literal¿number¿1259¿¿0¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
812¿BlockStatement¿¿1259¿¿¿¿{"start":{"line":18,"column":27},"end":{"line":20,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿BlockStatement
813¿VariableDeclarator¿¿1259¿v77¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
814¿MemberExpression¿¿1259¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
815¿Identifier¿¿1259¿commander¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
816¿Identifier¿¿1259¿autoIndex¿¿¿{"start":{"line":22,"column":28},"end":{"line":22,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
817¿VariableDeclarator¿¿1259¿autoIndex¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
818¿LogicalExpression¿||¿1259¿¿¿¿{"start":{"line":22,"column":18},"end":{"line":22,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿LogicalExpression
819¿Identifier¿¿1259¿v77¿¿¿¿¿Identifier
820¿Literal¿boolean¿1259¿¿false¿¿{"start":{"line":22,"column":41},"end":{"line":22,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
821¿VariableDeclarator¿¿1259¿showDirOrErr¿¿¿{"start":{"line":24,"column":0},"end":{"line":73,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
822¿FunctionExpression¿¿1259¿anon¿¿¿{"start":{"line":24,"column":0},"end":{"line":73,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿FunctionExpression
823¿Identifier¿¿0¿filePath¿¿¿{"start":{"line":24,"column":22},"end":{"line":24,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
824¿Identifier¿¿0¿res¿¿¿{"start":{"line":24,"column":32},"end":{"line":24,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
825¿VariableDeclarator¿¿1262¿v78¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
826¿CallExpression¿¿1262¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
827¿MemberExpression¿¿1262¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
828¿Identifier¿¿1262¿res¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
829¿Identifier¿¿1262¿set¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
830¿Literal¿string¿1262¿¿'Content-Type'¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
831¿Literal¿string¿1262¿¿'text/html'¿¿{"start":{"line":25,"column":28},"end":{"line":25,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
832¿ExpressionStatement¿¿1262¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿ExpressionStatement
833¿Identifier¿¿1262¿v78¿¿¿¿¿Identifier
834¿VariableDeclarator¿¿1262¿v97¿¿¿{"start":{"line":27,"column":22},"end":{"line":71,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
835¿ArrowFunctionExpression¿¿1262¿¿¿¿{"start":{"line":27,"column":22},"end":{"line":71,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿ArrowFunctionExpression
836¿Identifier¿¿0¿err¿¿¿{"start":{"line":27,"column":23},"end":{"line":27,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
837¿Identifier¿¿0¿stats¿¿¿{"start":{"line":27,"column":28},"end":{"line":27,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
838¿VariableDeclarator¿¿1264¿v79¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
839¿UnaryExpression¿!¿1264¿¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿UnaryExpression
840¿Identifier¿¿1264¿err¿¿¿{"start":{"line":28,"column":13},"end":{"line":28,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
841¿VariableDeclarator¿¿1264¿v80¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
842¿CallExpression¿¿1264¿¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
843¿MemberExpression¿¿1264¿¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
844¿Identifier¿¿1264¿stats¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
845¿Identifier¿¿1264¿isDirectory¿¿¿{"start":{"line":28,"column":26},"end":{"line":28,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
846¿VariableDeclarator¿¿1264¿v81¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
847¿LogicalExpression¿&&¿1264¿¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿LogicalExpression
848¿Identifier¿¿1264¿v79¿¿¿¿¿Identifier
849¿Identifier¿¿1264¿v80¿¿¿¿¿Identifier
850¿IfStatement¿¿1264¿¿¿¿{"start":{"line":28,"column":8},"end":{"line":70,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿IfStatement
851¿Identifier¿¿1264¿v81¿¿¿¿¿Identifier
852¿VariableDeclarator¿¿1264¿v91¿¿¿{"start":{"line":29,"column":33},"end":{"line":57,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
853¿ArrowFunctionExpression¿¿1264¿¿¿¿{"start":{"line":29,"column":33},"end":{"line":57,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿ArrowFunctionExpression
854¿Identifier¿¿0¿err¿¿¿{"start":{"line":29,"column":34},"end":{"line":29,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
855¿Identifier¿¿0¿files¿¿¿{"start":{"line":29,"column":39},"end":{"line":29,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
856¿IfStatement¿¿1266¿¿¿¿{"start":{"line":30,"column":16},"end":{"line":55,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿IfStatement
857¿Identifier¿¿1266¿err¿¿¿{"start":{"line":30,"column":20},"end":{"line":30,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
858¿VariableDeclarator¿¿1266¿v82¿¿¿{"start":{"line":31,"column":20},"end":{"line":31,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
859¿CallExpression¿¿1266¿¿¿¿{"start":{"line":31,"column":20},"end":{"line":31,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
860¿MemberExpression¿¿1266¿¿¿¿{"start":{"line":31,"column":20},"end":{"line":31,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
861¿Identifier¿¿1266¿res¿¿¿{"start":{"line":31,"column":20},"end":{"line":31,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
862¿Identifier¿¿1266¿status¿¿¿{"start":{"line":31,"column":24},"end":{"line":31,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
863¿Literal¿number¿1266¿¿500¿¿{"start":{"line":31,"column":31},"end":{"line":31,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
864¿ExpressionStatement¿¿1266¿¿¿¿{"start":{"line":31,"column":20},"end":{"line":31,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿ExpressionStatement
865¿Identifier¿¿1266¿v82¿¿¿¿¿Identifier
866¿VariableDeclarator¿¿1266¿v83¿¿¿{"start":{"line":32,"column":29},"end":{"line":41,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
867¿TemplateLiteral¿¿1266¿¿¿¿{"start":{"line":32,"column":29},"end":{"line":41,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿TemplateLiteral
868¿VariableDeclarator¿¿1266¿v84¿¿¿{"start":{"line":32,"column":20},"end":{"line":41,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
869¿CallExpression¿¿1266¿¿¿¿{"start":{"line":32,"column":20},"end":{"line":41,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
870¿MemberExpression¿¿1266¿¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
871¿Identifier¿¿1266¿res¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
