Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
766¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":123,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Program
777¿CallExpression¿¿¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿CallExpression
778¿MemberExpression¿¿¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
779¿Identifier¿¿path¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
780¿Identifier¿¿split¿¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
781¿Literal¿string¿¿'.'¿¿{"start":{"line":5,"column":30},"end":{"line":5,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
782¿VariableDeclarator¿¿parts¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿VariableDeclarator
783¿ArrayExpression¿¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ArrayExpression
784¿VariableDeclarator¿¿i¿¿¿{"start":{"line":8,"column":10},"end":{"line":8,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿VariableDeclarator
785¿Literal¿number¿¿0¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
786¿VariableDeclarator¿¿v86¿¿¿¿¿VariableDeclarator
787¿MemberExpression¿¿¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
788¿Identifier¿¿pathArray¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
789¿Identifier¿¿length¿¿¿{"start":{"line":8,"column":31},"end":{"line":8,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
790¿VariableDeclarator¿¿v87¿¿¿¿¿VariableDeclarator
791¿BinaryExpression¿<¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
792¿Identifier¿¿i¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
793¿Identifier¿¿v86¿¿¿¿¿Identifier
794¿WhileStatement¿¿¿¿¿{"start":{"line":8,"column":1},"end":{"line":17,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿WhileStatement
795¿Identifier¿¿v87¿¿¿¿¿Identifier
796¿VariableDeclarator¿¿p¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿VariableDeclarator
797¿MemberExpression¿computed¿¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
798¿Identifier¿¿pathArray¿¿¿{"start":{"line":9,"column":10},"end":{"line":9,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
799¿Identifier¿¿i¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
800¿VariableDeclarator¿¿v89¿¿¿¿¿VariableDeclarator
801¿MemberExpression¿¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
802¿Identifier¿¿p¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
803¿Identifier¿¿length¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
804¿VariableDeclarator¿¿v90¿¿¿¿¿VariableDeclarator
805¿BinaryExpression¿-¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
806¿Identifier¿¿v89¿¿¿¿¿Identifier
807¿Literal¿number¿¿1¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
808¿VariableDeclarator¿¿v91¿¿¿¿¿VariableDeclarator
809¿MemberExpression¿computed¿¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
810¿Identifier¿¿p¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":10},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
811¿Identifier¿¿v90¿¿¿¿¿Identifier
812¿VariableDeclarator¿¿v92¿¿¿¿¿VariableDeclarator
813¿BinaryExpression¿===¿¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
814¿Identifier¿¿v91¿¿¿¿¿Identifier
815¿Literal¿string¿¿'\\'¿¿{"start":{"line":11,"column":29},"end":{"line":11,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
816¿VariableDeclarator¿¿v93¿¿¿¿¿VariableDeclarator
817¿BinaryExpression¿+¿¿¿¿{"start":{"line":11,"column":47},"end":{"line":11,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
818¿Identifier¿¿i¿¿¿{"start":{"line":11,"column":47},"end":{"line":11,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
819¿Literal¿number¿¿1¿¿{"start":{"line":11,"column":51},"end":{"line":11,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
820¿VariableDeclarator¿¿v94¿¿¿¿¿VariableDeclarator
821¿MemberExpression¿computed¿¿¿¿{"start":{"line":11,"column":37},"end":{"line":11,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
822¿Identifier¿¿pathArray¿¿¿{"start":{"line":11,"column":37},"end":{"line":11,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
823¿Identifier¿¿v93¿¿¿¿¿Identifier
824¿VariableDeclarator¿¿v95¿¿¿¿¿VariableDeclarator
825¿BinaryExpression¿!==¿¿¿¿{"start":{"line":11,"column":37},"end":{"line":11,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
826¿Identifier¿¿v94¿¿¿¿¿Identifier
827¿Identifier¿¿undefined¿¿¿{"start":{"line":11,"column":58},"end":{"line":11,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
828¿VariableDeclarator¿¿v96¿¿¿¿¿VariableDeclarator
829¿LogicalExpression¿&&¿¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿LogicalExpression
830¿Identifier¿¿v92¿¿¿¿¿Identifier
831¿Identifier¿¿v95¿¿¿¿¿Identifier
832¿WhileStatement¿¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿WhileStatement
833¿Identifier¿¿v96¿¿¿¿¿Identifier
834¿VariableDeclarator¿¿v97¿¿¿¿¿VariableDeclarator
835¿UnaryExpression¿-¿¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿UnaryExpression
836¿Literal¿number¿¿1¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
837¿VariableDeclarator¿¿v98¿¿¿¿¿VariableDeclarator
838¿CallExpression¿¿¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿CallExpression
839¿MemberExpression¿¿¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
840¿Identifier¿¿p¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":8},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
841¿Identifier¿¿slice¿¿¿{"start":{"line":12,"column":9},"end":{"line":12,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
842¿Literal¿number¿¿0¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
843¿Identifier¿¿v97¿¿¿¿¿Identifier
844¿ExpressionStatement¿¿¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ExpressionStatement
845¿AssignmentExpression¿=¿¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿AssignmentExpression
846¿Identifier¿¿p¿¿¿{"start":{"line":12,"column":3},"end":{"line":12,"column":4},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
847¿BinaryExpression¿+¿¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
848¿Identifier¿¿v98¿¿¿¿¿Identifier
849¿Literal¿string¿¿'.'¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
850¿VariableDeclarator¿¿v99¿¿¿¿¿VariableDeclarator
851¿UpdateExpression¿¿¿¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿UpdateExpression
852¿Identifier¿¿i¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
853¿ExpressionStatement¿¿¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ExpressionStatement
854¿AssignmentExpression¿+=¿¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿AssignmentExpression
855¿Identifier¿¿p¿¿¿{"start":{"line":13,"column":3},"end":{"line":13,"column":4},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
856¿MemberExpression¿computed¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
857¿Identifier¿¿pathArray¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
858¿Identifier¿¿v99¿¿¿¿¿Identifier
859¿ExpressionStatement¿¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ExpressionStatement
860¿AssignmentExpression¿=¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿AssignmentExpression
861¿Identifier¿¿v96¿¿¿{"start":{"line":11,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
862¿LogicalExpression¿&&¿¿¿¿{"start":{"line":11,"column":9},"end":{"line":11,"column":67},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿LogicalExpression
863¿Identifier¿¿v92¿¿¿¿¿Identifier
864¿Identifier¿¿v95¿¿¿¿¿Identifier
865¿BlockStatement¿¿¿¿¿{"start":{"line":11,"column":69},"end":{"line":14,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BlockStatement
866¿VariableDeclarator¿¿v100¿¿¿¿¿VariableDeclarator
867¿CallExpression¿¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿CallExpression
868¿MemberExpression¿¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
869¿Identifier¿¿parts¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
870¿Identifier¿¿push¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
871¿Identifier¿¿p¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
872¿ExpressionStatement¿¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ExpressionStatement
873¿Identifier¿¿v100¿¿¿¿¿Identifier
874¿VariableDeclarator¿¿v88¿¿¿¿¿VariableDeclarator
875¿UpdateExpression¿¿¿¿¿{"start":{"line":8,"column":39},"end":{"line":8,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿UpdateExpression
876¿Identifier¿¿i¿¿¿{"start":{"line":8,"column":39},"end":{"line":8,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
877¿ExpressionStatement¿¿¿¿¿{"start":{"line":8,"column":1},"end":{"line":17,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ExpressionStatement
878¿AssignmentExpression¿=¿¿¿¿{"start":{"line":8,"column":1},"end":{"line":17,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿AssignmentExpression
879¿Identifier¿¿v87¿¿¿{"start":{"line":8,"column":1},"end":{"line":17,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
880¿BinaryExpression¿<¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
881¿Identifier¿¿i¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
882¿Identifier¿¿v86¿¿¿¿¿Identifier
883¿BlockStatement¿¿¿¿¿¿¿BlockStatement
884¿ReturnStatement¿¿¿¿¿{"start":{"line":19,"column":1},"end":{"line":19,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ReturnStatement
885¿Identifier¿¿parts¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
886¿BlockStatement¿¿¿¿¿{"start":{"line":4,"column":31},"end":{"line":20,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BlockStatement
887¿VariableDeclarator¿exported¿v123¿¿¿¿¿VariableDeclarator
888¿FunctionExpression¿¿anon¿¿¿{"start":{"line":23,"column":4},"end":{"line":52,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿FunctionExpression
889¿Identifier¿¿object¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
890¿Identifier¿¿path¿¿¿{"start":{"line":23,"column":13},"end":{"line":23,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
891¿Identifier¿¿value¿¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
892¿VariableDeclarator¿¿v101¿¿¿¿¿VariableDeclarator
893¿CallExpression¿¿¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿CallExpression
894¿Identifier¿¿isObj¿¿¿{"start":{"line":24,"column":7},"end":{"line":24,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
895¿Identifier¿¿object¿¿¿{"start":{"line":24,"column":13},"end":{"line":24,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
896¿VariableDeclarator¿¿v102¿¿¿¿¿VariableDeclarator
897¿UnaryExpression¿!¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿UnaryExpression
898¿Identifier¿¿v101¿¿¿¿¿Identifier
899¿VariableDeclarator¿¿v103¿¿¿¿¿VariableDeclarator
900¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿UnaryExpression
901¿Identifier¿¿path¿¿¿{"start":{"line":24,"column":31},"end":{"line":24,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
902¿VariableDeclarator¿¿v104¿¿¿¿¿VariableDeclarator
903¿BinaryExpression¿!==¿¿¿¿{"start":{"line":24,"column":24},"end":{"line":24,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
904¿Identifier¿¿v103¿¿¿¿¿Identifier
905¿Literal¿string¿¿'string'¿¿{"start":{"line":24,"column":40},"end":{"line":24,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
906¿VariableDeclarator¿¿v105¿¿¿¿¿VariableDeclarator
907¿LogicalExpression¿||¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿LogicalExpression
908¿Identifier¿¿v102¿¿¿¿¿Identifier
909¿Identifier¿¿v104¿¿¿¿¿Identifier
910¿IfStatement¿¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":26,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿IfStatement
911¿Identifier¿¿v105¿¿¿¿¿Identifier
912¿VariableDeclarator¿¿v106¿¿¿¿¿VariableDeclarator
913¿BinaryExpression¿===¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
914¿Identifier¿¿value¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
915¿Identifier¿¿undefined¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
916¿VariableDeclarator¿¿v107¿¿¿¿¿VariableDeclarator
917¿IfStatement¿¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿IfStatement
918¿Identifier¿¿v106¿¿¿¿¿Identifier
919¿ExpressionStatement¿¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ExpressionStatement
920¿AssignmentExpression¿=¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿AssignmentExpression
921¿Identifier¿¿v107¿¿¿¿¿Identifier
922¿Identifier¿¿object¿¿¿{"start":{"line":25,"column":32},"end":{"line":25,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
923¿BlockStatement¿¿¿¿¿¿¿BlockStatement
924¿ExpressionStatement¿¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ExpressionStatement
925¿AssignmentExpression¿=¿¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿AssignmentExpression
926¿Identifier¿¿v107¿¿¿¿¿Identifier
927¿Identifier¿¿value¿¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":46},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
928¿BlockStatement¿¿¿¿¿¿¿BlockStatement
929¿ReturnStatement¿¿¿¿¿{"start":{"line":25,"column":3},"end":{"line":25,"column":47},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ReturnStatement
930¿Identifier¿¿v107¿¿¿¿¿Identifier
931¿BlockStatement¿¿¿¿¿{"start":{"line":24,"column":50},"end":{"line":26,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BlockStatement
932¿VariableDeclarator¿¿pathArray¿¿¿{"start":{"line":28,"column":8},"end":{"line":28,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿VariableDeclarator
933¿CallExpression¿¿¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿CallExpression
934¿Identifier¿¿getPathSegments¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
935¿Identifier¿¿path¿¿¿{"start":{"line":28,"column":36},"end":{"line":28,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
936¿VariableDeclarator¿¿i¿¿¿{"start":{"line":30,"column":11},"end":{"line":30,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿VariableDeclarator
937¿Literal¿number¿¿0¿¿{"start":{"line":30,"column":15},"end":{"line":30,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
938¿VariableDeclarator¿¿v108¿¿¿¿¿VariableDeclarator
939¿MemberExpression¿¿¿¿¿{"start":{"line":30,"column":22},"end":{"line":30,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
940¿Identifier¿¿pathArray¿¿¿{"start":{"line":30,"column":22},"end":{"line":30,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
941¿Identifier¿¿length¿¿¿{"start":{"line":30,"column":32},"end":{"line":30,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
942¿VariableDeclarator¿¿v109¿¿¿¿¿VariableDeclarator
943¿BinaryExpression¿<¿¿¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿BinaryExpression
944¿Identifier¿¿i¿¿¿{"start":{"line":30,"column":18},"end":{"line":30,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
945¿Identifier¿¿v108¿¿¿¿¿Identifier
946¿WhileStatement¿¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":49,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿WhileStatement
947¿Identifier¿¿v109¿¿¿¿¿Identifier
948¿VariableDeclarator¿¿v111¿¿¿¿¿VariableDeclarator
949¿MemberExpression¿¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿MemberExpression
