Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1066¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":229,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Program
1122¿VariableDeclarator¿¿1894¿v109¿¿¿{"start":{"line":25,"column":26},"end":{"line":25,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1123¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":25,"column":26},"end":{"line":25,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1124¿Identifier¿¿1894¿options¿¿¿{"start":{"line":25,"column":26},"end":{"line":25,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1125¿Identifier¿¿1894¿logicalSeparator¿¿¿{"start":{"line":25,"column":34},"end":{"line":25,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1126¿ExpressionStatement¿¿1894¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":58},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1127¿AssignmentExpression¿=¿1894¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1128¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1129¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":25,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1130¿Identifier¿¿1894¿logicalSeparator¿¿¿{"start":{"line":25,"column":7},"end":{"line":25,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1131¿LogicalExpression¿||¿1894¿¿¿¿{"start":{"line":25,"column":26},"end":{"line":25,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿LogicalExpression
1132¿Identifier¿¿1894¿v109¿¿¿¿¿Identifier
1133¿Literal¿string¿1894¿¿':'¿¿{"start":{"line":25,"column":54},"end":{"line":25,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1134¿VariableDeclarator¿¿1894¿v110¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1135¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1136¿Identifier¿¿1894¿options¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1137¿Identifier¿¿1894¿parseValues¿¿¿{"start":{"line":26,"column":29},"end":{"line":26,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1138¿ExpressionStatement¿¿1894¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1139¿AssignmentExpression¿=¿1894¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1140¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1141¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":26,"column":2},"end":{"line":26,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1142¿Identifier¿¿1894¿parseValues¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1143¿LogicalExpression¿||¿1894¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿LogicalExpression
1144¿Identifier¿¿1894¿v110¿¿¿¿¿Identifier
1145¿Literal¿boolean¿1894¿¿false¿¿{"start":{"line":26,"column":44},"end":{"line":26,"column":49},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1146¿VariableDeclarator¿¿1894¿v111¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1147¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1148¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":28,"column":6},"end":{"line":28,"column":10},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1149¿Identifier¿¿1894¿loadFrom¿¿¿{"start":{"line":28,"column":11},"end":{"line":28,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1150¿IfStatement¿¿1894¿¿¿¿{"start":{"line":28,"column":2},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿IfStatement
1151¿Identifier¿¿1894¿v111¿¿¿¿¿Identifier
1152¿VariableDeclarator¿¿1894¿v112¿¿¿{"start":{"line":29,"column":38},"end":{"line":29,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1153¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":29,"column":38},"end":{"line":29,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1154¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":29,"column":38},"end":{"line":29,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1155¿Identifier¿¿1894¿loadFrom¿¿¿{"start":{"line":29,"column":43},"end":{"line":29,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1156¿VariableDeclarator¿¿1894¿v113¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1157¿CallExpression¿¿1894¿¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿CallExpression
1158¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1159¿Identifier¿¿1894¿common¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1160¿Identifier¿¿1894¿loadFilesSync¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1161¿Identifier¿¿1894¿v112¿¿¿¿¿Identifier
1162¿ExpressionStatement¿¿1894¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1163¿AssignmentExpression¿=¿1894¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":52},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1164¿MemberExpression¿¿1894¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1165¿ThisExpression¿¿1894¿¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":8},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1166¿Identifier¿¿1894¿store¿¿¿{"start":{"line":29,"column":9},"end":{"line":29,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1167¿Identifier¿¿1894¿v113¿¿¿¿¿Identifier
1168¿BlockStatement¿¿1894¿¿¿¿{"start":{"line":28,"column":21},"end":{"line":30,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BlockStatement
1169¿BlockStatement¿¿1894¿¿¿¿{"start":{"line":18,"column":49},"end":{"line":31,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BlockStatement
1170¿ExpressionStatement¿¿1892¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":31,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1171¿AssignmentExpression¿=¿1892¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":31,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1172¿MemberExpression¿¿1892¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1173¿Identifier¿¿1892¿exports¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1174¿Identifier¿¿1892¿Memory¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1175¿Identifier¿¿1892¿v114¿¿¿¿¿Identifier
1176¿VariableDeclarator¿¿1892¿Memory¿¿¿{"start":{"line":18,"column":4},"end":{"line":31,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1177¿MemberExpression¿¿1892¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1178¿Identifier¿¿1892¿exports¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1179¿Identifier¿¿1892¿Memory¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1180¿VariableDeclarator¿¿1892¿v115¿¿¿{"start":{"line":38,"column":0},"end":{"line":38,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1181¿MemberExpression¿¿1892¿¿¿¿{"start":{"line":38,"column":0},"end":{"line":38,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1182¿Identifier¿¿1892¿Memory¿¿¿{"start":{"line":38,"column":0},"end":{"line":38,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1183¿Identifier¿¿1892¿prototype¿¿¿{"start":{"line":38,"column":7},"end":{"line":38,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1184¿VariableDeclarator¿¿1892¿v125¿¿¿{"start":{"line":38,"column":0},"end":{"line":55,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1185¿FunctionExpression¿¿1892¿anon¿¿¿{"start":{"line":38,"column":23},"end":{"line":55,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿FunctionExpression
1186¿Identifier¿¿0¿key¿¿¿{"start":{"line":38,"column":33},"end":{"line":38,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1187¿VariableDeclarator¿¿1897¿target¿¿¿{"start":{"line":39,"column":6},"end":{"line":39,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1188¿MemberExpression¿¿1897¿¿¿¿{"start":{"line":39,"column":15},"end":{"line":39,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1189¿ThisExpression¿¿1897¿¿¿¿{"start":{"line":39,"column":15},"end":{"line":39,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1190¿Identifier¿¿1897¿store¿¿¿{"start":{"line":39,"column":20},"end":{"line":39,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
